names_clean,names_raw,region_id,repo_id,date_num,vol_capacity_mean,vol_capacity_ste,sa_capacity,mean_x_pos,mean_y_pos
wMirzanagar_12212016_152_n,w_Mirzanagar_12212016_152,35,22092,736685,86.6526205529471,8.43379060483249,88,709841.553991455,2652054.16869364
wMirzanagar_12212016_153_n,w_Mirzanagar_12212016_153,35,22093,736685,79.6989427869289,10.3622296771301,77,709833.402305917,2652053.9342
wMirzanagar_12212016_154_b,w_Mirzanagar_12212016_154_b,35,22094,736685,690.467039898462,177.036099471323,426,709820.288283176,2652054.85937941
wMirzanagar_12212016_155_b,w_Mirzanagar_12212016_155_b,35,22095,736685,480.992651283856,115.459045711078,318,709798.288004266,2652054.91771933
wMirzanagar_12212016_156_b,w_Mirzanagar_12212016_156_b,35,22096,736685,1523.06221216948,460.474514326909,777,709751.976280933,2652031.73669133
wMirzanagar_12212016_157_b,w_Mirzanagar_12212016_157_b,35,22097,736685,657.579336800531,159.547962111039,433,709717.817519909,2652040.30855091
wMirzanagar_12212016_158_b,w_Mirzanagar_12212016_158_b,35,22098,736685,5188.8515502631,1022.42524755956,1783,709733.172149083,2652012.65740417
wMirzanagar_12212016_159_n,w_Mirzanagar_12212016_159,35,22099,736685,547.034875438622,103.927237066357,392,709690.352993167,2651894.22003444
wMirzanagar_12212016_15_b,w_Mirzanagar_12212016_15_b,35,21955,736685,1563.2089103169,394.438491543812,772,710882.100113,2651835.39023909
wMirzanagar_12212016_160_b,w_Mirzanagar_12212016_160_b,35,22100,736685,1354.64133350875,390.34219062275,725,709663.705998454,2651918.30399182
wMirzanagar_12212016_161_b,w_Mirzanagar_12212016_161_b,35,22101,736685,5223.95743984059,1151.52094865559,1762,709685.981017077,2651945.71049154
wMirzanagar_12212016_162_b,w_Mirzanagar_12212016_162_b,35,22102,736685,639.740643717398,164.431948362557,407,709682.649111385,2651994.80420846
wMirzanagar_12212016_163_b,w_Mirzanagar_12212016_163_b,35,22103,736685,1181.8943427779,396.685650405241,671,709687.9564988,2652023.48223
wMirzanagar_12212016_164_b,w_Mirzanagar_12212016_164_b,35,22104,736685,2249.54304003801,684.693331877919,1108,709661.356949556,2652008.14678222
wMirzanagar_12212016_165_b,w_Mirzanagar_12212016_165_b,35,22105,736685,4297.67592628507,983.425091553948,1521,709629.973109333,2652011.49518778
wMirzanagar_12212016_166_b,w_Mirzanagar_12212016_166_b,35,22106,736685,3119.198967105,864.967616277415,1223,709591.118909375,2652005.823105
wMirzanagar_12212016_167_b,w_Mirzanagar_12212016_167_b,35,22107,736685,4676.50722377535,1029.55495237737,1657,709591.390172,2651961.66455417
wMirzanagar_12212016_168_n,w_Mirzanagar_12212016_168,35,22108,736685,52.8858096640609,3.38106463123819,61,709564.018571733,2652056.65318067
wMirzanagar_12212016_169_n,w_Mirzanagar_12212016_169,35,22109,736685,9.62878928934017,0.172042084762078,14,709567.7481358,2652048.386529
