names_clean,names_raw,region_id,rep_id,date_num
Bahirchar_01172011_52_tt,Bahirchar_01172011_52_tt,2,25196,734520
Bahirchar_01172011_53_tt,Bahirchar_01172011_53_tt,2,25197,734520
Bahirchar_01172011_54_tt,Bahirchar_01172011_54_tt,2,25198,734520
Bahirchar_01172011_55_tt,Bahirchar_01172011_55_tt,2,25199,734520
Bahirchar_01172011_56_tt,Bahirchar_01172011_56_tt,2,25200,734520
Bahirchar_01172011_57_tt,Bahirchar_01172011_57_tt,2,25201,734520
Bahirchar_01172011_58_tt,Bahirchar_01172011_58_tt,2,25202,734520
Bahirchar_01172011_59_tt,Bahirchar_01172011_59_tt,2,25203,734520
Bahirchar_01172011_5_n,Bahirchar_01172011_5,2,25149,734520
Bahirchar_01172011_60_n,Bahirchar_01172011_60,2,25204,734520
Bahirchar_01172011_61_n,Bahirchar_01172011_61,2,25205,734520
Bahirchar_01172011_62_n,Bahirchar_01172011_62,2,25206,734520
Bahirchar_01172011_63_n,Bahirchar_01172011_63,2,25207,734520
Bahirchar_01172011_64_n,Bahirchar_01172011_64,2,25208,734520
Bahirchar_01172011_65_n,Bahirchar_01172011_65,2,25209,734520
Bahirchar_01172011_66_n,Bahirchar_01172011_66,2,25210,734520
Bahirchar_01172011_67_n,Bahirchar_01172011_67,2,25211,734520
Bahirchar_01172011_68_n,Bahirchar_01172011_68,2,25212,734520
Bahirchar_01172011_69_n,Bahirchar_01172011_69,2,25213,734520
Bahirchar_01172011_6_n,Bahirchar_01172011_6,2,25150,734520
Bahirchar_01172011_70_n,Bahirchar_01172011_70,2,25214,734520
Bahirchar_01172011_71_n,Bahirchar_01172011_71,2,25215,734520
Bahirchar_01172011_72_n,Bahirchar_01172011_72,2,25216,734520
Bahirchar_01172011_73_n,Bahirchar_01172011_73,2,25217,734520
Bahirchar_01172011_74_n,Bahirchar_01172011_74,2,25218,734520
Bahirchar_01172011_75_n,Bahirchar_01172011_75,2,25219,734520
Bahirchar_01172011_76_n,Bahirchar_01172011_76,2,25220,734520
Bahirchar_01172011_77_n,Bahirchar_01172011_77,2,25221,734520
Bahirchar_01172011_78_n,Bahirchar_01172011_78,2,25222,734520
Bahirchar_01172011_79_n,Bahirchar_01172011_79,2,25223,734520
Bahirchar_01172011_7_n,Bahirchar_01172011_7,2,25151,734520
Bahirchar_01172011_80_n,Bahirchar_01172011_80,2,25224,734520
Bahirchar_01172011_81_n,Bahirchar_01172011_81,2,25225,734520
Bahirchar_01172011_82_n,Bahirchar_01172011_82,2,25226,734520
Bahirchar_01172011_83_n,Bahirchar_01172011_83,2,25227,734520
Bahirchar_01172011_84_n,Bahirchar_01172011_84,2,25228,734520
Bahirchar_01172011_85_n,Bahirchar_01172011_85,2,25229,734520
Bahirchar_01172011_86_n,Bahirchar_01172011_86,2,25230,734520
Bahirchar_01172011_87_n,Bahirchar_01172011_87,2,25231,734520
Bahirchar_01172011_88_n,Bahirchar_01172011_88,2,25232,734520
Bahirchar_01172011_89_n,Bahirchar_01172011_89,2,25233,734520
Bahirchar_01172011_8_tt,Bahirchar_01172011_8_tt,2,25152,734520
Bahirchar_01172011_90_n,Bahirchar_01172011_90,2,25234,734520
Bahirchar_01172011_91_n,Bahirchar_01172011_91,2,25235,734520
Bahirchar_01172011_92_n,Bahirchar_01172011_92,2,25236,734520
Bahirchar_01172011_93_n,Bahirchar_01172011_93,2,25237,734520
Bahirchar_01172011_94_n,Bahirchar_01172011_94,2,25238,734520
Bahirchar_01172011_95_n,Bahirchar_01172011_95,2,25239,734520
Bahirchar_01172011_96_n,Bahirchar_01172011_96,2,25240,734520
Bahirchar_01172011_97_n,Bahirchar_01172011_97,2,25241,734520
Bahirchar_01172011_9_n,Bahirchar_01172011_9,2,25153,734520
Bahirchar_01242018_10_n,Bahirchar_01242018_10,2,25877,737084
Bahirchar_01242018_11_b,Bahirchar_01242018_11_b,2,25878,737084
Bahirchar_01242018_12_b,Bahirchar_01242018_12_b,2,25879,737084
Bahirchar_01242018_13_n,Bahirchar_01242018_13,2,25880,737084
Bahirchar_01242018_14_n,Bahirchar_01242018_14,2,25881,737084
Bahirchar_01242018_15_n,Bahirchar_01242018_15,2,25882,737084
Bahirchar_01242018_16_n,Bahirchar_01242018_16,2,25883,737084
Bahirchar_01242018_17_n,Bahirchar_01242018_17,2,25884,737084
Bahirchar_01242018_18_n,Bahirchar_01242018_18,2,25885,737084
Bahirchar_01242018_19_n,Bahirchar_01242018_19,2,25886,737084
Bahirchar_01242018_1_b,Bahirchar_01242018_1_b,2,25868,737084
Bahirchar_01242018_20_b,Bahirchar_01242018_20_b,2,25887,737084
Bahirchar_01242018_21_b,Bahirchar_01242018_21_b,2,25888,737084
Bahirchar_01242018_22_b,Bahirchar_01242018_22_b,2,25889,737084
Bahirchar_01242018_23_b,Bahirchar_01242018_23_b,2,25890,737084
Bahirchar_01242018_24_b,Bahirchar_01242018_24_b,2,25891,737084
