FID,Id,name,area,ORIG_FID,POINT_X,POINT_Y
17763,0,f26_160226,1206,145,-576524.665149000010000,-691446.635433000050000
17764,0,f26_160226,1206,145,-576523.430403999980000,-691446.135342000050000
17765,0,f26_160226,1206,145,-576522.195666000010000,-691445.635366000000000
17766,0,f26_160226,1206,145,-576521.365607999960000,-691445.603420000060000
17767,0,f26_160226,1206,145,-576519.859140999960000,-691446.088380999980000
17768,0,f26_160226,1206,145,-576518.603696999950000,-691446.492402000000000
17769,0,f26_160226,1206,145,-576517.676163000050000,-691447.090137999970000
17770,0,f26_160226,1206,145,-576517.153301000010000,-691448.155787999970000
17771,0,f26_160226,1206,145,-576516.302640000010000,-691449.027948000000000
17772,0,f26_160226,1206,145,-576515.451874000020000,-691449.899998000010000
17773,0,f26_160226,1206,145,-576515.005795000000000,-691451.240192999950000
17774,0,f26_160226,1206,145,-576514.559709000050000,-691452.580272000050000
17775,0,f26_160226,1206,145,-576514.364756000000000,-691453.839638000000000
17776,0,f26_160226,1206,145,-576513.841900000000000,-691454.905402999950000
17777,0,f26_160226,1206,145,-576512.991134000010000,-691455.777451999950000
17778,0,f26_160226,1206,145,-576512.063598999990000,-691456.375188000030000
17779,0,f26_160226,1206,145,-576511.059279000040000,-691456.698377999940000
17780,0,f26_160226,1206,145,-576509.803839999950000,-691457.102514000030000
17781,0,f26_160226,1206,145,-576508.645974999990000,-691456.876960000020000
17782,0,f26_160226,1206,145,-576507.795209000000000,-691457.749009000020000
17783,0,f26_160226,1206,145,-576508.102411000060000,-691458.846722000050000
17784,0,f26_160226,1206,145,-576508.486389999980000,-691460.218863000050000
17785,0,f26_160226,1206,145,-576509.044621999960000,-691461.235752000010000
17786,0,f26_160226,1206,145,-576509.679721000020000,-691462.526947999960000
17787,0,f26_160226,1206,145,-576510.991243000030000,-691463.301469999950000
17788,0,f26_160226,1206,145,-576511.800596000040000,-691464.237412999970000
17789,0,f26_160226,1206,145,-576513.188887999980000,-691465.286249000000000
17790,0,f26_160226,1206,145,-576513.844702000030000,-691465.673564000060000
17791,0,f26_160226,1206,145,-576515.309765000010000,-691466.996713000000000
17792,0,f26_160226,1206,145,-576516.447028000020000,-691468.126370999960000
17793,0,f26_160226,1206,145,-576517.333164999960000,-691469.336859000030000
17794,0,f26_160226,1206,145,-576518.142526000040000,-691470.272916999990000
17795,0,f26_160226,1206,145,-576518.623983000060000,-691471.015374999960000
17796,0,f26_160226,1206,145,-576519.761150000030000,-691472.145037999960000
17797,0,f26_160226,1206,145,-576520.570511000000000,-691473.081096000040000
17798,0,f26_160226,1206,145,-576521.456745999980000,-691474.291577000050000
17799,0,f26_160226,1206,145,-576522.517136999990000,-691475.146810999960000
17800,0,f26_160226,1206,145,-576523.751878999990000,-691475.646786000000000
17801,0,f26_160226,1206,145,-576524.658716000030000,-691475.953161000040000
17802,0,f26_160226,1206,145,-576525.893458000040000,-691476.453134999960000
17803,0,f26_160226,1206,145,-576527.302452999980000,-691476.597856999960000
17804,0,f26_160226,1206,145,-576528.306774000060000,-691476.274665000030000
17805,0,f26_160226,1206,145,-576529.562215000040000,-691475.870527000050000
17806,0,f26_160226,1206,145,-576530.412885000000000,-691474.998482999970000
17807,0,f26_160226,1206,145,-576531.089390999990000,-691474.481569999950000
17808,0,f26_160226,1206,145,-576532.037633000060000,-691472.979837000020000
17809,0,f26_160226,1206,145,-576532.888295999960000,-691472.107676999990000
17810,0,f26_160226,1206,145,-576533.739061999950000,-691471.235625999980000
17811,0,f26_160226,1206,145,-576534.261917000050000,-691470.169860000020000
17812,0,f26_160226,1206,145,-576534.784777999970000,-691469.104210000020000
17813,0,f26_160226,1206,145,-576534.979729000010000,-691467.844844999960000
17814,0,f26_160226,1206,145,-576534.923650000010000,-691466.666303999950000
17815,0,f26_160226,1206,145,-576534.616451999990000,-691465.568709000010000
17816,0,f26_160226,1206,145,-576534.406818000020000,-691463.841309000040000
17817,0,f26_160226,1206,145,-576534.427517000000000,-691462.937197000020000
17818,0,f26_160226,1206,145,-576534.294571000030000,-691461.484349000030000
17819,0,f26_160226,1206,145,-576534.161714000050000,-691460.031378000040000
17820,0,f26_160226,1206,145,-576534.586996000030000,-691459.595300000040000
17821,0,f26_160226,1206,145,-576534.705273999950000,-691458.061615000010000
17822,0,f26_160226,1206,145,-576534.746572999980000,-691456.253397000020000
17823,0,f26_160226,1206,145,-576535.192656000030000,-691454.913317000030000
17824,0,f26_160226,1206,145,-576535.638733000030000,-691453.573120999960000
17825,0,f26_160226,1206,145,-576536.412720000020000,-691452.426639999960000
17826,0,f26_160226,1206,145,-576536.935573000000000,-691451.360874000010000
17827,0,f26_160226,1206,145,-576537.535210000000000,-691450.569651999980000
17828,0,f26_160226,1206,145,-576538.560218999980000,-691449.342230999960000
17829,0,f26_160226,1206,145,-576539.334204999960000,-691448.195749999960000
17830,0,f26_160226,1206,145,-576540.010612000010000,-691447.678840999960000
17831,0,f26_160226,1206,145,-576540.456688000010000,-691446.338645000010000
17832,0,f26_160226,1206,145,-576540.825992000060000,-691444.724135000030000
17833,0,f26_160226,1206,145,-576540.693038000030000,-691443.271168999960000
17834,0,f26_160226,1206,145,-576540.636964999950000,-691442.092743000020000
17835,0,f26_160226,1206,145,-576540.329758999990000,-691440.995031000000000
17836,0,f26_160226,1206,145,-576539.868999000060000,-691439.348460000010000
17837,0,f26_160226,1206,145,-576539.408245999950000,-691437.702004999970000
17838,0,f26_160226,1206,145,-576539.101039999980000,-691436.604292999950000
17839,0,f26_160226,1206,145,-576538.717058000040000,-691435.232151999950000
17840,0,f26_160226,1206,145,-576538.409851999950000,-691434.134439000040000
17841,0,f26_160226,1206,145,-576537.949098999960000,-691432.487984000010000
17842,0,f26_160226,1206,145,-576537.488340000040000,-691430.841412000010000
17843,0,f26_160226,1206,145,-576537.027482999950000,-691429.194846999950000
17844,0,f26_160226,1206,145,-576536.566730999970000,-691427.548391000020000
17845,0,f26_160226,1206,145,-576536.182749000030000,-691426.176248000000000
17846,0,f26_160226,1206,145,-576535.798765999960000,-691424.804106000000000
17847,0,f26_160226,1206,145,-576535.414784000020000,-691423.431963999990000
17848,0,f26_160226,1206,145,-576534.702906999970000,-691421.866337000040000
17849,0,f26_160226,1206,145,-576534.395702000010000,-691420.768624000020000
17850,0,f26_160226,1206,145,-576533.432789999990000,-691419.283705999960000
17851,0,f26_160226,1206,145,-576532.546653999950000,-691418.073218000000000
17852,0,f26_160226,1206,145,-576531.988420999960000,-691417.056329000040000
17853,0,f26_160226,1206,145,-576531.102189000000000,-691415.845846000010000
17854,0,f26_160226,1206,145,-576530.795089000020000,-691414.748243000010000
17855,0,f26_160226,1206,145,-576529.985730999960000,-691413.812183000030000
17856,0,f26_160226,1206,145,-576529.099597000050000,-691412.601693999950000
17857,0,f26_160226,1206,145,-576528.464490000040000,-691411.310381000050000
17858,0,f26_160226,1206,145,-576527.578356000010000,-691410.099891999970000
17859,0,f26_160226,1206,145,-576526.943251000020000,-691408.808578000050000
17860,0,f26_160226,1206,145,-576526.308242000060000,-691407.517257999980000
17861,0,f26_160226,1206,145,-576525.498885000010000,-691406.581199000010000
17862,0,f26_160226,1206,145,-576524.787009999970000,-691405.015570000050000
17863,0,f26_160226,1206,145,-576523.977654000050000,-691404.079509999950000
17864,0,f26_160226,1206,145,-576523.342549000050000,-691402.788196000040000
17865,0,f26_160226,1206,145,-576522.533192000000000,-691401.852135999940000
17866,0,f26_160226,1206,145,-576522.051738000010000,-691401.109675999960000
17867,0,f26_160226,1206,145,-576521.416730000060000,-691399.818355000000000
17868,0,f26_160226,1206,145,-576520.356248999950000,-691398.963125000010000
17869,0,f26_160226,1206,145,-576519.372641999970000,-691398.382317999960000
17870,0,f26_160226,1206,145,-576518.061133999960000,-691397.607911000030000
17871,0,f26_160226,1206,145,-576516.728926999960000,-691397.737618000010000
17872,0,f26_160226,1206,145,-576515.319937000050000,-691397.592779000060000
17873,0,f26_160226,1206,145,-576514.238757999960000,-691397.641660999970000
17874,0,f26_160226,1206,145,-576513.080802000010000,-691397.416114000020000
17875,0,f26_160226,1206,145,-576512.076490000010000,-691397.739305000050000
17876,0,f26_160226,1206,145,-576510.416380999960000,-691397.675410000030000
17877,0,f26_160226,1206,145,-576509.663200999960000,-691397.917887000020000
17878,0,f26_160226,1206,145,-576508.658895000000000,-691398.241192999990000
17879,0,f26_160226,1206,145,-576507.152331999970000,-691398.726043000000000
17880,0,f26_160226,1206,145,-576505.645873000030000,-691399.211002000030000
17881,0,f26_160226,1206,145,-576504.139406000030000,-691399.695844999980000
17882,0,f26_160226,1206,145,-576502.883975000000000,-691400.099980000060000
17883,0,f26_160226,1206,145,-576501.628536000030000,-691400.503998999950000
17884,0,f26_160226,1206,145,-576500.373105000010000,-691400.908134000030000
17885,0,f26_160226,1206,145,-576499.368798000040000,-691401.231440000000000
17886,0,f26_160226,1206,145,-576498.518036999970000,-691402.103490000010000
17887,0,f26_160226,1206,145,-576498.323084000030000,-691403.362856999970000
17888,0,f26_160226,1206,145,-576498.128130999980000,-691404.622225000060000
17889,0,f26_160226,1206,145,-576497.682045000020000,-691405.962305999940000
17890,0,f26_160226,1206,145,-576497.738119999990000,-691407.140849999970000
17891,0,f26_160226,1206,145,-576497.292041999990000,-691408.481046000030000
17892,0,f26_160226,1206,145,-576497.097080999990000,-691409.740298000050000
17893,0,f26_160226,1206,145,-576496.727874999980000,-691411.354918000060000
17894,0,f26_160226,1206,145,-576496.783943000020000,-691412.533346000010000
17895,0,f26_160226,1206,145,-576496.337864000000000,-691413.873542999970000
17896,0,f26_160226,1206,145,-576496.066134999970000,-691414.858479000050000
17897,0,f26_160226,1206,145,-576495.871077000050000,-691416.117735999990000
17898,0,f26_160226,1206,145,-576495.850376000050000,-691417.021850000020000
17899,0,f26_160226,1206,145,-576495.732197999950000,-691418.555646999970000
17900,0,f26_160226,1206,145,-576495.788362000020000,-691419.734069000000000
17901,0,f26_160226,1206,145,-576495.844436999990000,-691420.912612000010000
17902,0,f26_160226,1206,145,-576495.726259000020000,-691422.446408999970000
17903,0,f26_160226,1206,145,-576495.859102000020000,-691423.899266000020000
17904,0,f26_160226,1206,145,-576495.664147999950000,-691425.158632999980000
17905,0,f26_160226,1206,145,-576496.048124999970000,-691426.530777000010000
17906,0,f26_160226,1206,145,-576496.550278999960000,-691426.369124999970000
17907,0,f26_160226,1206,145,-576497.401037000000000,-691425.496960000020000
